release_year,specs
2017,"['Single-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']"
2016,"['Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,"['Single-player', 'Full controller support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications', 'Includes Source SDK']"
2016,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']"
2017,"['Single-player', 'Online Co-op', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Online Co-op', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']"
2016,"['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements']"
2017,"['Single-player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Captions available']"
2017,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Captions available']"
2017,['Single-player']
2014,['Captions available']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud']"
2011,['Single-player']
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Trading Cards']"
2017,['Single-player']
2017,"['Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Stats']"
2017,['Downloadable Content']
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2015,['Captions available']
2017,['Captions available']
2017,"['Downloadable Content', 'Steam Achievements', 'Includes level editor']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2016,['Captions available']
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,['Single-player']
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Downloadable Content', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Single-player', 'Online Multi-Player', 'MMO', 'Online Co-op']"
2017,"['Single-player', 'Co-op', 'Shared/Split Screen', 'Full controller support']"
2017,['Single-player']
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Stats']"
2017,"['Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor']"
2017,"['Single-player', 'Full controller support']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Full controller support']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'In-App Purchases']"
2017,"['Single-player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support']"
2017,"['Single-player', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud']"
2016,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Includes level editor']"
2017,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Partial Controller Support', 'Steam Leaderboards', 'Includes level editor']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Commentary available']"
2017,"['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2016,['Single-player']
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'In-App Purchases']"
2017,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'In-App Purchases']"
2017,"['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'In-App Purchases']"
2017,"['Single-player', 'Online Multi-Player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Online Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Includes level editor']"
2017,"['Single-player', 'Online Multi-Player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Includes level editor']"
2017,"['Single-player', 'Online Multi-Player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Includes level editor']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Single-player']
2007,['Single-player']
2018,"['Single-player', 'Partial Controller Support']"
2018,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Game demo']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Full controller support', 'Includes level editor']"
2017,"['Single-player', 'Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Online Multi-Player', 'Includes level editor']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']"
2017,['Single-player']
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Co-op']"
2017,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'MMO', 'Downloadable Content', 'In-App Purchases']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,"['Online Multi-Player', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']"
2017,"['Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Full controller support']"
2017,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Downloadable Content']"
2017,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Multi-player', 'Online Multi-Player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Local Co-op', 'Downloadable Content', 'Full controller support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,['Single-player']
2017,"['Downloadable Content', 'Steam Workshop']"
2017,"['Single-player', 'Full controller support']"
2017,"['Single-player', 'Steam Cloud']"
2017,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Downloadable Content', 'In-App Purchases']"
2017,['Single-player']
2017,['Single-player']
2017,['Single-player']
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2018,"['Single-player', 'Multi-player', 'Full controller support']"
2017,"['Single-player', 'Steam Achievements', 'Partial Controller Support']"
2016,"['Single-player', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,['Single-player']
2017,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements', 'Partial Controller Support']"
2016,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']"
2017,"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Multi-player', 'Online Multi-Player', 'MMO', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Downloadable Content']"
2017,['Captions available']
2008,['Captions available']
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2015,['Single-player']
2017,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Downloadable Content', 'Full controller support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['Single-player', 'Downloadable Content', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Leaderboards', 'Includes level editor']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Online Multi-Player', 'Steam Achievements', 'In-App Purchases']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']"
2017,['Single-player']
2017,"['MMO', 'In-App Purchases']"
2017,"['Single-player', 'Steam Achievements', 'Partial Controller Support']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Stats']"
2017,"['Single-player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Trading Cards', 'Partial Controller Support']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Stats', 'Commentary available']"
2014,['Captions available']
2017,"['Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
2017,"['Single-player', 'Steam Trading Cards']"
2017,"['Online Multi-Player', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']"
2017,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']"
2017,"['Single-player', 'Steam Workshop', 'Steam Leaderboards', 'Includes level editor']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']"
2017,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
2017,"['Online Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']"
2017,"['Single-player', 'Steam Achievements', 'Partial Controller Support']"
2017,"['Single-player', 'Multi-player', 'Shared/Split Screen']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements']"
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']"
2017,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats']"
2023,['Single-player']
2017,['Single-player']
2017,['Single-player']
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Achievements']"
2017,"['Single-player', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Steam Achievements', 'Steam Cloud']"
2017,"['Single-player', 'Partial Controller Support']"
2017,['Single-player']
